line,character,dialogue,sentiment,entities
112,LUKE,But I was going into Toshi Station to pick up some power converters...,-0.5944536047055431,['Toshi Station']
113,OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!",0.0,[]
114,LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go.",0.18015292195379273,[]
115,LUKE,Uncle Owen...,-0.44263901061780464,['Uncle Owen']
116,OWEN,Yeah?,-0.45351845393746726,[]
117,LUKE,This R2 unit has a bad motivator.  Look!,0.02342859074460768,['R2']
118,OWEN,"Hey, what're you trying to push on us?",-0.0394441421241114,[]
119,THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",0.2272186252001387,['R2']
120,LUKE,Uncle Owen...,-0.44263901061780464,['Uncle Owen']
121,OWEN,Yeah?,-0.45351845393746726,[]
122,LUKE,What about that one?,0.2856649198264245,[]
123,OWEN,What about that blue one?  We'll take that one.,0.268388990064806,[]
124,LUKE,"Yeah, take it away.",-0.277969723327087,[]
125,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes.",0.24633519087165,['first']
126,LUKE,"Okay, let's go.",-0.0747406751991464,[]
127,THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!",-0.01508992641608553,[]
128,THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!",-0.2217674855122147,[]
129,LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!",-0.13703600012575023,['Biggs']
130,THREEPIO,Is there anything I might do to help? ,-0.5894172035716996,[]
131,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",-0.4524823230191839,[]
132,THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on.",0.14857995240784527,[]
133,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",-0.06473420918593664,[]
134,THREEPIO,"I see, sir.",0.5092444778084251,[]
135,LUKE,"Uh, you can call me Luke.",0.018408959919682832,['Luke']
136,THREEPIO,"I see, sir Luke.",0.5072900501081525,['Luke']
137,LUKE,Just Luke.,-0.11104335179810465,[]
138,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",-0.08368274759332373,['Artoo-Detoo']
139,LUKE,Hello.,-0.40139397904684104,[]
140,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,-0.1818176057818306,[]
141,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",0.051043380164914165,['Rebellion']
142,LUKE,You know of the Rebellion against the Empire?,-0.11950466285786732,"['Rebellion', 'Empire']"
143,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir.",0.14053437376790012,[]
144,LUKE,Have you been in many battles?,-0.4533724925326159,[]
145,THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",-0.06271504412280637,[]
146,LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...",0.1202965553284896,[]
147,LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope.",0.016061798575971897,['Obi-Wan Kenobi']
148,LUKE,What's this?,-0.2434344547547751,[]
149,THREEPIO,What is what?!?  He asked you a question...What is that?,-0.037100810481710766,[]
150,LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.",0.2603022017147891,"['Obi-Wan Kenobi', 'Obi-Wan Kenobi']"
151,THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",-0.4579310811905424,[]
152,LUKE,Who is she?  She's beautiful.,-0.0533482142362911,[]
153,THREEPIO,"I'm afraid I'm not quite sure, sir.",0.2916299995606293,[]
154,LEIA,"Help me, Obi-Wan Kenobi...",0.22025971337457562,['Obi-Wan Kenobi']
155,THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",0.0,[]
156,LUKE,Is there more to this recording?,-0.6360719170434925,[]
157,THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master.",-0.1313286755607035,['Artoo']
158,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.",-0.13160391023049645,"['Obi-Wan Kenobi', 'Antilles', 'R2']"
159,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,0.0,"['Obi-Wan Kenobi', 'Ben Kenobi']"
160,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?",0.2549319780264281,[]
161,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit.",-0.3405012448850733,"['Obi-Wan', 'Ben']"
162,LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.,-0.0874303112433854,[]
163,THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",-0.4828964849004982,[]
164,LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay.",-0.06082931685859294,[]
165,LUKE,There you go.,0.031819868866675094,[]
166,LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message.",-0.12348922859135714,['a minute']
167,THREEPIO,been playing.  The one you're carrying inside your rusty innards! ,-0.1804830468952756,[]
168,AUNT BERU,Luke?  Luke!  Come to dinner!,-0.18222069584687572,['Luke']
169,LUKE,"All right, I'll be right there, Aunt Beru.",0.028952536563646047,['Aunt Beru']
170,THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter.",-0.39719055615550314,[]
171,LUKE,"Well, see what you can do with him.  I'll be right back.",0.3788318711478027,[]
172,THREEPIO,Just you reconsider playing that message for him.,0.0,[]
